EmployeeID,Age,Education,Gender,DistanceFromHome,MaritalStatus,NumCompaniesWorked,DepartmentType,JobRole,JobLevel,JobInvolvement,JobSatisfaction,JobMonthlyIncome,BusinessTravel,JobStockOptionLevel,JobRelationshipSatisfaction,WorkEnvironmentSatisfaction,JobPercentSalaryHike,JobPerformanceRating,WorkLifeBalance,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,TrainingTimesLastYear,Attrition
E0066,55,3,Female,8,Divorced,2,Research & Development,管理人员,4,3,3,14756,Travel_Rarely,3,3,4,14,3,3,21,5,0,0,2,2,No
E0067,36,3,Male,11,Single,1,Research & Development,Manufacturing Director,2,2,2,6499,Travel_Frequently,0,3,2,13,3,3,6,6,5,0,3,3,No
E0068,45,3,Male,7,Divorced,2,Research & Development,Research Scientist,3,3,1,9724,Travel_Rarely,1,3,2,17,3,3,25,1,0,0,0,2,No
E0069,35,3,Male,1,Married,4,Research & Development,Research Scientist,1,3,1,2194,Travel_Frequently,1,4,2,13,3,,5,3,2,1,2,2,No
E0070,36,3,Male,9,Married,0,Research & Development,Research Scientist,1,2,3,3388,Travel_Rarely,1,1,4,17,3,2,2,1,0,0,0,0,Yes
E0071,59,1,Female,1,Single,7,Sales,Sales Executive,2,2,3,5473,Travel_Frequently,0,4,1,11,3,2,20,4,3,1,3,2,No
E0072,29,3,Male,2,Married,0,Research & Development,Research Scientist,1,3,2,2703,Travel_Rarely,1,4,3,23,4,3,6,5,4,0,4,3,No
E0073,31,4,Male,1,Single,1,Research & Development,Research Scientist,1,3,2,2501,Travel_Rarely,0,2,3,17,3,3,1,1,1,1,0,4,No
E0074,32,3,Male,,Married,1,Research & Development,Research Scientist,2,3,2,6220,Travel_Rarely,2,2,2,17,3,3,10,10,4,0,9,3,No
E0075,36,3,Female,6,Married,3,Research & Development,Laboratory Technician,1,4,4,3038,Travel_Rarely,0,2,2,12,3,3,5,1,0,0,0,3,No
E0076,31,4,Female,8,Single,1,Research & Development,Manufacturing Director,2,3,,4424,Travel_Rarely,None,4,3,23,4,3,11,11,7,1,8,2,No
E0077,35,4,Male,1,Single,0,Sales,Sales Executive,2,2,1,4312,Travel_Rarely,0,2,3,14,3,3,16,15,13,2,8,2,No
E0078,45,4,Male,6,Married,4,Research & Development,Research Director,3,3,1,13245,Travel_Rarely,None,2,4,14,3,4,17,0,0,0,0,3,No
E0079,37,4,Male,7,Single,4,Research & Development,Research Director,3,3,3,13664,Travel_Rarely,0,1,1,13,3,4,16,5,2,0,2,3,No
E0080,46,2,Male,,Divorced,8,Human Resources,Human Resources,2,3,2,5021,Travel_Rarely,1,4,2,22,4,,16,4,2,0,2,2,No
E0081,30,1,Male,1,Married,1,Research & Development,Laboratory Technician,2,2,4,5126,Travel_Rarely,2,3,4,12,3,2,10,10,8,3,0,1,No
E0082,35,3,Male,1,Single,1,Research & Development,Research Scientist,1,2,3,2859,Travel_Rarely,0,1,2,18,3,3,6,6,4,0,4,3,No
E0083,55,2,Male,1,Married,3,Sales,Sales Executive,3,3,4,10.239K,Travel_Rarely,1,4,1,14,3,3,24,1,0,1,0,4,No
E0084,38,3,Female,6,Divorced,7,Research & Development,Research Scientist,2,1,4,5329,Non-Travel,3,4,2,12,3,3,17,13,11,1,9,3,No
E0085,34,2,Male,1,Married,1,Research & Development,Manufacturing Director,2,3,2,4325,Travel_Rarely,0,3,1,15,3,3,5,5,2,1,3,2,No
E0086,56,3,Male,7,Single,4,Research & Development,Manufacturing Director,3,1,4,7260,Travel_Rarely,0,1,4,11,3,2,37,6,4,0,2,3,No
E0087,23,1,Male,2,Divorced,3,Sales,Sales Representative,1,3,1,2322,Travel_Rarely,1,3,3,13,3,3,3,0,0,0,0,3,No
E0088,51,4,Male,9,Married,3,Research & Development,Laboratory Technician,1,3,4,2075,Travel_Rarely,2,2,4,23,4,3,10,4,2,0,3,4,No
E0089,30,3,Male,2,Married,1,Research & Development,Healthcare Representative,2,2,4,4152,Travel_Rarely,3,,3,19,3,3,11,11,10,10,8,3,No
E0090,46,2,Male,9,Single,1,Sales,Sales Executive,3,2,4,9619,Travel_Rarely,0,4,3,16,3,3,9,9,8,4,7,3,Yes
E0091,40,4,Male,1,Married,1,Research & Development,Healthcare Representative,4,2,,13503,Travel_Frequently,1,4,3,22,4,2,22,22,3,11,11,3,No
E0092,51,4,Male,21,Single,0,Sales,Sales Executive,2,3,4,5441,Travel_Rarely,0,4,3,22,4,1,11,10,7,1,0,2,No
E0093,30,2,Female,4,Divorced,1,Sales,Sales Executive,2,2,2,5209,Travel_Rarely,3,2,3,12,3,2,11,11,8,2,7,4,No
E0094,46,3,Male,1,Married,2,Research & Development,Healthcare Representative,3,2,1,10673,Travel_Frequently,1,3,3,13,3,2,21,10,9,9,5,5,No
E0095,32,4,Male,6,Single,1,Sales,Sales Executive,2,3,3,5010,Travel_Rarely,0,1,2,16,3,,12,11,8,5,7,0,No
E0096,54,4,1,2,Married,9,Research & Development,Research Director,3,3,3,13549,Travel_Rarely,1,1,1,12,3,1,16,4,3,0,3,5,No
E0097,24,2,1,,Married,0,Sales,Sales Executive,2,3,3,4999,Travel_Rarely,1,1,1,21,4,2,4,3,2,0,2,2,No
E0098,28,3,Male,4,Married,1,Sales,Sales Executive,2,3,3,4221,Non-Travel,None,2,2,15,3,4,5,5,4,0,4,3,No
E0099,58,4,Male,10,Single,0,Sales,Sales Executive,4,3,3,13872,Travel_Rarely,0,3,4,13,3,2,38,37,10,1,8,1,No
E0100,44,3,Male,23,Married,4,Research & Development,Laboratory Technician,2,3,2,2042,Non-Travel,1,3,2,12,3,4,17,3,2,1,2,3,No
E0101,37,4,0,6,Divorced,4,Human Resources,Human Resources,1,3,1,2073,Travel_Rarely,None,4,3,22,4,3,7,3,2,0,2,3,Yes
E0102,32,1,0,1,Single,1,Research & Development,Research Scientist,1,3,1,2956,Travel_Rarely,None,4,4,13,3,3,1,1,0,0,0,2,No
E0103,20,3,Female,6,Single,1,Research & Development,Laboratory Technician,1,2,4,2926,Travel_Frequently,None,2,4,18,3,3,1,1,0,1,0,5,Yes
E0104,34,4,Female,6,Single,1,Research & Development,Research Scientist,2,3,3,4809,Travel_Rarely,0,3,1,14,3,3,16,16,13,2,10,3,No
E0105,37,2,Male,2,Divorced,5,Research & Development,Healthcare Representative,2,2,4,5163,Non-Travel,1,4,3,14,3,4,17,1,0,0,0,2,No
E0106,59,4,Female,2,Married,9,Human Resources,Manager,5,2,,18844,Non-Travel,1,4,3,21,4,3,30,3,2,2,2,3,No
E0107,50,3,Female,1,Married,3,Research & Development,Research Director,5,3,2,18172,Travel_Frequently,None,1,1,19,3,,28,8,3,0,7,1,No
E0108,25,3,Male,5,Single,1,Sales,Sales Executive,2,2,3,5744,Travel_Rarely,None,4,3,11,3,3,6,6,4,0,3,1,Yes
E0109,25,1,Male,7,Married,1,Research & Development,Research Scientist,1,2,4,2889,Travel_Rarely,2,3,4,11,3,3,2,2,2,2,1,2,No
E0110,22,3,Female,15,Single,1,Research & Development,Laboratory Technician,1,3,4,2871,Travel_Rarely,0,3,2,15,3,3,1,0,0,0,0,5,No
E0111,51,4,Female,,Single,3,Research & Development,Healthcare Representative,3,2,1,7484,Travel_Frequently,0,3,1,20,4,2,23,13,12,12,8,1,No
E0112,34,3,Male,7,Single,1,Research & Development,Laboratory Technician,2,1,3,6074,Travel_Frequently,0,4,1,24,4,3,9,9,7,0,6,3,Yes
E0113,54,3,Female,26,Single,2,Human Resources,Manager,4,4,4,17328,Non-Travel,0,3,4,12,3,3,23,5,3,4,4,3,No
E0114,24,1,Male,,Married,0,Research & Development,Laboratory Technician,1,3,3,2774,Travel_Rarely,1,3,2,12,3,3,6,5,3,1,2,2,No
E0115,34,4,1,6,Divorced,6,Research & Development,Research Scientist,2,2,2,4505,Travel_Rarely,1,3,3,15,3,3,12,1,0,0,0,3,No
E0116,37,3,0,3,Single,2,Sales,Sales Executive,3,3,4,7428,Travel_Rarely,0,1,3,12,3,3,12,5,3,1,3,3,No
E0117,34,3,Female,5,Single,2,Research & Development,Manager,3,2,1,11631,Travel_Rarely,0,4,3,12,3,3,14,11,10,5,8,6,No
E0118,36,2,Female,11,Married,0,Sales,Sales Executive,3,3,4,9738,Travel_Frequently,1,3,2,14,3,3,10,9,7,2,8,6,No
E0119,36,2,Female,3,Divorced,5,Research & Development,Laboratory Technician,1,3,4,2835,Travel_Rarely,1,1,1,22,4,3,7,1,0,0,0,2,No
E0120,43,2,Male,26,Married,1,Sales,Manager,4,3,4,16959,Travel_Frequently,2,4,3,12,3,4,25,25,12,4,12,3,No
E0121,30,3,Male,23,Divorced,1,Research & Development,Research Scientist,1,1,3,2613,Travel_Frequently,3,3,1,25,4,,10,10,7,0,9,2,No
E0122,33,2,Male,22,Married,0,Sales,Sales Executive,2,3,2,6146,Non-Travel,1,,3,13,3,,8,7,7,0,7,2,No
E0123,56,4,Female,14,Married,9,Research & Development,Research Scientist,1,3,2,4963,Travel_Rarely,3,1,2,18,3,3,7,5,4,4,3,2,Yes
E0124,51,3,Male,6,Single,7,Research & Development,Research Director,5,3,3,19537,Travel_Rarely,0,3,1,13,3,3,23,20,18,15,15,5,No
E0125,31,4,Male,6,Married,4,Sales,Sales Executive,2,1,3,6172,Travel_Rarely,0,2,2,18,3,2,12,7,7,7,7,3,Yes
E0126,26,3,Female,6,Married,1,Research & Development,Research Scientist,1,2,,2368,Travel_Rarely,0,3,3,19,3,2,5,5,4,4,3,3,No
E0127,58,4,Female,23,Married,1,Research & Development,Healthcare Representative,3,3,4,10312,Travel_Rarely,1,4,4,12,3,2,40,40,10,15,6,3,Yes
E0128,19,1,Male,22,Single,1,Sales,Sales Representative,1,3,3,1675,Travel_Rarely,0,4,4,19,3,2,0,0,0,0,0,2,Yes
E0129,22,1,Male,2,Married,0,Research & Development,Laboratory Technician,1,3,4,2523,Travel_Rarely,1,3,3,14,3,3,3,2,1,2,1,2,No
E0130,49,4,Female,20,Married,1,Research & Development,Manufacturing Director,2,3,1,6567,Travel_Rarely,0,3,3,14,3,2,16,15,11,5,11,2,No
E0131,43,3,Female,28,Single,4,Research & Development,Research Scientist,1,4,3,4739,Travel_Frequently,0,4,2,12,3,3,18,3,2,1,2,2,No
E0132,50,3,Female,12,Single,4,Sales,Sales Executive,3,3,4,9208,Travel_Frequently,0,4,3,11,3,3,16,2,2,2,1,3,No
E0133,31,3,Female,20,Married,3,Sales,Sales Executive,2,1,3,4559,Travel_Rarely,1,3,2,11,3,3,4,2,2,2,2,2,Yes
E0134,41,1,Male,9,Divorced,3,Sales,Sales Executive,3,3,3,8189,Travel_Rarely,1,3,3,13,3,3,12,9,7,0,7,2,No
E0135,26,1,Female,25,Married,1,Human Resources,Human Resources,1,3,3,2942,Travel_Rarely,1,4,3,23,4,3,8,8,7,5,7,3,No
E0136,36,2,Male,6,Divorced,6,Research & Development,Manufacturing Director,2,3,2,4941,Travel_Rarely,2,4,2,20,4,3,7,3,2,0,1,0,No
E0137,51,4,Male,8,Single,2,Research & Development,Manufacturing Director,3,1,4,10650,Travel_Frequently,0,4,1,15,3,3,18,4,2,0,3,2,Yes
E0138,39,4,Female,4,Married,4,Sales,Sales Executive,2,2,3,5902,Travel_Rarely,1,3,4,14,3,4,17,15,11,5,9,1,No
E0139,25,3,Male,28,Married,2,Sales,Sales Executive,2,2,3,8639,Travel_Rarely,0,4,1,18,3,3,6,2,2,2,2,3,No
E0140,30,3,Male,9,Married,0,Human Resources,Human Resources,2,3,4,6347,Travel_Rarely,0,4,3,19,3,1,12,11,9,4,7,2,No
E0141,32,3,Female,9,Single,7,Research & Development,Laboratory Technician,1,3,1,4200,Travel_Rarely,0,1,1,22,4,4,10,5,4,0,4,2,Yes
E0142,45,3,Male,29,Single,5,Research & Development,Research Scientist,1,3,4,3452,Travel_Rarely,0,2,3,13,3,2,9,6,5,0,3,2,No
E0143,38,5,Female,3,Single,3,Research & Development,Research Scientist,2,3,,4317,Travel_Rarely,0,2,4,20,4,3,19,3,2,2,2,2,No
E0144,30,3,Female,18,Single,1,Research & Development,Research Scientist,1,3,3,2632,Travel_Rarely,0,3,1,14,3,2,5,5,4,0,4,4,No
E0145,32,2,Male,,Divorced,0,Sales,Sales Executive,2,1,4,4668,Travel_Frequently,3,4,4,17,3,4,9,8,7,0,7,2,No
E0146,30,3,Female,5,Divorced,5,Research & Development,Research Scientist,1,3,1,3204,Travel_Rarely,1,4,4,14,3,3,8,3,2,2,2,3,No
E0147,30,1,Male,,Single,0,Research & Development,Laboratory Technician,1,2,4,2720,Travel_Rarely,0,,2,13,3,3,6,5,3,1,2,3,No
E0148,41,3,Male,10,Divorced,4,Research & Development,Manager,4,2,1,17181,Travel_Frequently,1,,4,13,3,2,21,7,6,7,7,2,No
E0149,41,4,Male,9,Married,2,Research & Development,Laboratory Technician,1,3,1,2238,Travel_Rarely,1,4,3,21,4,3,7,5,0,1,4,2,No
E0150,19,1,Female,3,Single,1,Research & Development,Laboratory Technician,1,3,2,1483,Travel_Rarely,0,4,2,14,3,3,1,1,0,0,0,3,No
E0151,40,3,Female,26,Divorced,1,Research & Development,Research Scientist,2,3,2,5605,Travel_Frequently,1,1,2,11,3,3,20,20,7,2,13,2,No
E0152,35,5,Male,1,Married,1,Sales,Sales Executive,3,3,2,7295,Travel_Rarely,2,1,3,13,3,3,10,10,8,0,6,3,No
E0153,53,2,Male,6,Married,2,Sales,Sales Representative,2,3,3,2306,Travel_Rarely,1,4,2,20,4,,13,7,7,4,5,3,No
E0154,45,3,Male,9,Divorced,8,Research & Development,Laboratory Technician,2,3,2,2348,Travel_Rarely,1,3,2,18,3,1,20,17,9,0,15,2,No
E0155,32,3,Female,8,Single,1,Sales,Sales Executive,3,3,4,8998,Travel_Frequently,0,4,2,14,3,3,9,9,8,3,7,2,No
E0156,29,1,Male,1,Married,1,Research & Development,Manufacturing Director,2,3,3,4319,Non-Travel,1,1,4,13,3,3,10,10,7,0,9,1,No
E0157,51,4,Male,7,Married,2,Research & Development,Manufacturing Director,2,2,3,6132,Travel_Rarely,0,3,2,17,3,,10,1,0,0,0,2,No
E0158,58,3,Female,9,Married,4,Research & Development,Research Scientist,1,2,2,3346,Travel_Rarely,1,2,2,20,4,2,9,1,0,0,0,3,No
E0159,40,4,Male,4,Married,7,Sales,Sales Executive,3,2,4,10855,Travel_Rarely,1,1,3,11,3,2,15,12,11,2,11,2,No
E0160,34,4,Female,2,Married,6,Sales,Sales Representative,1,3,,2231,Travel_Frequently,1,4,3,18,3,3,6,4,3,1,2,3,No
E0161,22,1,Male,19,Married,1,Research & Development,Research Scientist,1,3,4,2323,Travel_Rarely,2,1,3,24,4,3,2,2,2,2,2,6,No
E0162,27,3,Male,9,Divorced,6,Research & Development,Research Scientist,1,3,2,2024,Non-Travel,1,4,4,18,3,1,6,2,2,2,2,1,No
E0163,28,3,Male,,Married,1,Research & Development,Research Scientist,1,3,4,2713,Travel_Rarely,1,3,3,11,3,1,5,5,2,0,2,2,No
E0164,57,2,Male,,Divorced,3,Research & Development,Healthcare Representative,3,4,4,9439,Travel_Rarely,1,2,3,16,3,1,12,5,3,1,4,2,No
E0165,27,3,Male,3,Divorced,1,Research & Development,Research Scientist,1,2,3,2566,Non-Travel,1,4,3,15,3,2,1,1,1,0,1,2,No
E0166,50,3,Female,11,Single,3,Research & Development,Manager,5,3,2,19926,Travel_Rarely,0,2,3,15,3,3,21,5,4,4,4,5,No
E0167,41,3,Male,14,Divorced,4,Research & Development,Research Scientist,1,3,3,2451,Travel_Rarely,1,1,1,12,3,3,13,9,8,1,8,2,No
E0168,30,3,Female,5,Married,2,Sales,Sales Executive,3,3,4,9419,Travel_Rarely,1,,2,12,3,3,12,10,9,7,4,2,No
E0169,38,4,Female,1,Single,4,Sales,Sales Executive,2,2,4,8686,Travel_Rarely,0,3,1,22,4,4,12,8,3,0,7,2,No
E0170,32,5,Male,6,Single,3,Research & Development,Research Scientist,1,3,3,3038,Travel_Rarely,0,1,3,20,4,,8,5,4,1,4,2,No
E0171,27,3,Male,17,Married,0,Research & Development,Research Scientist,1,3,2,3058,Travel_Rarely,1,4,3,16,3,,6,5,2,1,1,3,No
E0172,19,1,Female,1,Single,0,Sales,Sales Representative,1,1,1,2325,Travel_Frequently,0,1,3,21,4,4,1,0,0,0,0,5,Yes
E0173,36,2,Male,3,Single,4,Research & Development,Laboratory Technician,1,3,2,2088,Travel_Frequently,0,3,4,12,3,2,13,8,7,7,2,3,No
E0174,30,3,Male,9,Divorced,1,Research & Development,Laboratory Technician,2,3,1,3072,Non-Travel,2,3,3,11,3,3,12,12,9,6,10,4,No
E0175,45,2,Female,4,Divorced,4,Sales,Sales Executive,2,3,1,5006,Travel_Rarely,1,1,3,11,3,4,9,5,4,0,3,3,No
E0176,56,3,Female,8,Divorced,4,Research & Development,Research Scientist,1,3,1,4257,Travel_Rarely,1,,3,18,3,3,19,2,2,2,2,3,No
E0177,33,3,Male,2,Single,0,Research & Development,Research Scientist,1,3,,2500,Travel_Rarely,0,1,3,14,3,4,4,3,1,0,2,2,No
E0178,19,3,Male,2,Single,1,Research & Development,Laboratory Technician,1,2,4,1102,Travel_Rarely,0,3,2,22,4,2,1,1,0,1,0,3,Yes
E0179,46,2,Female,1,Divorced,1,Sales,Sales Executive,3,3,1,10453,Travel_Rarely,3,3,2,25,4,3,24,24,13,15,7,2,No
E0180,38,2,Female,9,Single,1,Research & Development,Laboratory Technician,1,3,4,2288,Travel_Rarely,0,3,3,12,3,3,2,2,2,2,1,3,No
